step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
633,19.942753,LONG,0.000275,0.00548,0.01926,-0.013781,1.725658
634,19.891708,LONG,0.006026,0.119863,2.6e-05,0.119837,1.845495
635,19.527832,LONG,0.001024,0.019987,0.000182,0.019805,1.8653
636,12.92543,LONG,0.003404,0.044,0.003301,0.040699,1.905999
637,-18.490896,SHORT,-0.003404,0.062946,0.015708,0.047237,1.953236
638,-13.001775,SHORT,0.002316,-0.030113,0.002745,-0.032858,1.920379
639,-3.303713,SHORT,-0.001771,0.00585,0.004849,0.001001,1.921379
640,4.834308,LONG,0.002315,0.011191,0.004069,0.007122,1.928501
641,19.953777,LONG,-0.000612,-0.012216,0.00756,-0.019776,1.908725
642,19.949303,LONG,0.001768,0.035263,2e-06,0.035261,1.943986
643,19.899908,LONG,-0.004084,-0.081268,2.5e-05,-0.081293,1.862692
644,19.934118,LONG,0.001976,0.039389,1.7e-05,0.039372,1.902064
645,-11.751896,SHORT,-6.8e-05,0.0008,0.015843,-0.015043,1.887021
646,-11.748473,SHORT,-0.002113,0.024819,2e-06,0.024817,1.911838
647,19.392174,LONG,-0.002869,-0.055641,0.01557,-0.071211,1.840627
648,19.306454,LONG,0.002119,0.040902,4.3e-05,0.040859,1.881486
649,19.970236,LONG,0.00402,0.080276,0.000332,0.079944,1.96143
650,19.96949,LONG,-0.002451,-0.048942,0.0,-0.048942,1.912488
651,19.968172,LONG,-0.002047,-0.040874,1e-06,-0.040874,1.871614
652,19.968683,LONG,-0.004449,-0.08885,0.0,-0.08885,1.782763
653,-19.930531,SHORT,0.00096,-0.019134,0.01995,-0.039083,1.74368
654,-19.894802,SHORT,-0.00096,0.019099,1.8e-05,0.019082,1.762761
655,-19.887461,SHORT,0.001371,-0.027269,4e-06,-0.027273,1.735489
656,-19.931355,SHORT,-0.002332,0.046482,2.2e-05,0.04646,1.781949
657,-19.929733,SHORT,-0.001581,0.031503,1e-06,0.031502,1.813451
658,-19.818581,SHORT,-0.000826,0.016364,5.6e-05,0.016309,1.82976
659,-19.574192,SHORT,-0.002067,0.040465,0.000122,0.040343,1.870103
660,-19.093302,SHORT,-0.001795,0.034274,0.00024,0.034034,1.904136
661,-18.66688,SHORT,-0.001937,0.036154,0.000213,0.03594,1.940077
662,-15.492264,SHORT,0.002213,-0.034287,0.001587,-0.035874,1.904202
663,-19.765032,SHORT,-0.000484,0.009561,0.002136,0.007424,1.911627
664,-19.785509,SHORT,0.003794,-0.075072,1e-05,-0.075082,1.836545
665,19.963636,LONG,0.000138,0.002749,0.019875,-0.017126,1.819419
666,19.966751,LONG,-0.001171,-0.023383,2e-06,-0.023384,1.796035
667,19.970398,LONG,0.001515,0.03026,2e-06,0.030258,1.826293
668,19.962818,LONG,0.001169,0.023343,4e-06,0.023339,1.849632
669,19.969818,LONG,-0.000344,-0.006865,3e-06,-0.006869,1.842764
670,19.966827,LONG,0.000756,0.015098,1e-06,0.015096,1.85786
671,19.968565,LONG,0.005687,0.113563,1e-06,0.113562,1.971422
672,19.962999,LONG,0.003547,0.070801,3e-06,0.070798,2.04222
673,19.952387,LONG,0.003602,0.071866,5e-06,0.071861,2.114081
674,19.929819,LONG,0.003521,0.07018,1.1e-05,0.070169,2.18425
675,19.893318,LONG,-0.000609,-0.012107,1.8e-05,-0.012125,2.172125
676,19.909157,LONG,-0.00631,-0.125636,8e-06,-0.125644,2.046481
677,19.860796,LONG,0.003058,0.060743,2.4e-05,0.060718,2.107199
678,19.889456,LONG,0.002372,0.047184,1.4e-05,0.04717,2.154369
679,19.798103,LONG,-0.002847,-0.056374,4.6e-05,-0.05642,2.097949
680,19.907776,LONG,0.001493,0.029713,5.5e-05,0.029658,2.127608
681,19.961958,LONG,0.00122,0.024344,2.7e-05,0.024317,2.151924
682,19.963459,LONG,0.001556,0.031065,1e-06,0.031064,2.182989
683,19.961157,LONG,0.001756,0.035055,1e-06,0.035054,2.218043
684,19.965845,LONG,0.002359,0.047104,2e-06,0.047101,2.265144
685,19.940948,LONG,-0.000337,-0.006714,1.2e-05,-0.006726,2.258418
686,19.957396,LONG,-0.002225,-0.044405,8e-06,-0.044413,2.214004
687,19.955013,LONG,0.0,0.0,1e-06,-1e-06,2.214003
688,19.963509,LONG,0.001484,0.029623,4e-06,0.029619,2.243622
689,19.865402,LONG,-0.001754,-0.034842,4.9e-05,-0.034891,2.208731
690,19.949072,LONG,-6.8e-05,-0.001347,4.2e-05,-0.001389,2.207342
691,19.952074,LONG,-0.001419,-0.028311,2e-06,-0.028313,2.179029
692,19.94998,LONG,-0.000879,-0.017544,1e-06,-0.017545,2.161484
693,-19.972563,SHORT,-0.002236,0.044656,0.019961,0.024694,2.186178
694,-19.925276,SHORT,0.001491,-0.029711,2.4e-05,-0.029735,2.156444
695,-19.924557,SHORT,-0.001695,0.033765,0.0,0.033764,2.190208
696,-19.907499,SHORT,-0.002581,0.051388,9e-06,0.05138,2.241588
697,19.949673,LONG,-0.002861,-0.057073,0.019929,-0.077001,2.164586
698,19.960781,LONG,-0.003211,-0.064097,6e-06,-0.064103,2.100484
699,19.965748,LONG,-0.002398,-0.047878,2e-06,-0.04788,2.052603
700,19.965357,LONG,-0.004055,-0.080968,0.0,-0.080968,1.971635
701,19.343431,LONG,-0.008855,-0.171289,0.000311,-0.171599,1.800036
