step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
255,10.38627,LONG,0.003815,0.039619,0.006853,0.032766,2.107721
256,13.830421,LONG,0.002295,0.031739,0.001722,0.030017,2.137738
257,19.908243,LONG,0.001309,0.02606,0.003039,0.023021,2.160758
258,19.909863,LONG,-0.003013,-0.059993,1e-06,-0.059994,2.100765
259,19.918577,LONG,-0.001116,-0.022227,4e-06,-0.022231,2.078533
260,19.918339,LONG,-0.001446,-0.028801,0.0,-0.028801,2.049732
261,1.881641,LONG,-0.000724,-0.001362,0.009018,-0.01038,2.039352
262,-18.474085,SHORT,-0.004816,0.088979,0.010178,0.078801,2.118153
263,-10.667635,SHORT,0.003367,-0.035922,0.003903,-0.039825,2.078329
264,-18.166843,SHORT,0.014852,-0.269813,0.00375,-0.273562,1.804766
265,19.928751,LONG,0.016105,0.320962,0.019048,0.301914,2.106681
266,19.931179,LONG,-0.000703,-0.014016,1e-06,-0.014017,2.092664
267,19.918484,LONG,-0.004487,-0.089367,6e-06,-0.089373,2.003291
268,19.91313,LONG,0.001541,0.030677,3e-06,0.030674,2.033965
269,-19.790026,SHORT,-0.001541,0.030487,0.019852,0.010636,2.044601
270,-19.805237,SHORT,0.001925,-0.038131,8e-06,-0.038139,2.006462
271,-19.800468,SHORT,-0.000128,0.002539,2e-06,0.002537,2.008999
272,-19.802282,SHORT,-0.000641,0.012702,1e-06,0.012701,2.0217
273,-19.79603,SHORT,-0.001991,0.039415,3e-06,0.039412,2.061112
274,-19.7941,SHORT,0.004938,-0.097749,1e-06,-0.09775,1.963362
275,-19.802946,SHORT,0.001662,-0.032912,4e-06,-0.032917,1.930446
276,-19.793491,SHORT,0.001659,-0.032842,5e-06,-0.032847,1.897599
277,-18.439035,SHORT,-0.000574,0.010585,0.000677,0.009907,1.907507
278,-18.606853,SHORT,-0.001021,0.019004,8.4e-05,0.01892,1.926426
279,-14.742997,SHORT,0.004651,-0.068574,0.001932,-0.070506,1.85592
