step,position,action,position_change,pred_return,pred_15m,pred_1h,pred_4h,pred_1d,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl,correct_direction
228,-0.063721,SHORT,0.007111,-0.014054,0.003959,-0.009156,0.000618,-0.023224,0.006057,-0.000386,4e-06,-0.00039,-0.001361,0
229,-0.077075,SHORT,0.013355,-0.014696,0.006301,-0.009057,0.000569,-0.023224,-0.015393,0.001186,7e-06,0.00118,-0.000181,1
230,0.005942,FLAT,0.083017,-0.013521,0.004129,-0.001839,0.000554,-0.023224,0.000481,3e-06,4.2e-05,-3.9e-05,-0.00022,1
231,-0.048442,FLAT,0.054384,0.000951,0.00385,-0.001849,0.00059,-0.023224,0.007782,-0.000377,2.7e-05,-0.000404,-0.000624,0
232,-0.094791,SHORT,0.046349,-0.012331,0.004459,-0.002141,0.001792,-0.023224,0.007012,-0.000665,2.3e-05,-0.000688,-0.001312,0
233,-0.072907,SHORT,0.021884,-0.007394,0.005231,-0.002126,0.001792,-0.023224,-0.003678,0.000268,1.1e-05,0.000257,-0.001055,1
234,-0.054599,SHORT,0.018308,-0.017662,0.004237,-0.008057,0.001666,-0.023224,0.004625,-0.000253,9e-06,-0.000262,-0.001316,0
235,-0.059394,SHORT,0.004795,-0.007897,0.005712,-0.007391,0.001666,-0.023224,0.005781,-0.000343,2e-06,-0.000346,-0.001662,0
236,-0.030436,FLAT,0.028958,-0.002231,0.006524,-0.006805,0.001656,-0.023224,0.00235,-7.2e-05,1.4e-05,-8.6e-05,-0.001748,0
237,0.008838,FLAT,0.039274,-0.008939,0.006212,-0.006581,0.001656,-0.023224,-0.005767,-5.1e-05,2e-05,-7.1e-05,-0.001819,0
238,0.049659,FLAT,0.040821,-0.011572,0.008311,-0.010974,0.002282,-0.023224,-0.00331,-0.000164,2e-05,-0.000185,-0.002004,0
239,0.041443,FLAT,0.008216,-0.016705,0.005817,-0.011247,0.002282,-0.023224,0.001065,4.4e-05,4e-06,4e-05,-0.001963,1
240,0.043531,FLAT,0.002088,-0.012276,0.003639,-0.011204,0.002175,-0.023224,0.002245,9.8e-05,1e-06,9.7e-05,-0.001867,1
241,0.044248,FLAT,0.000717,-0.01044,0.005589,-0.011231,0.002175,-0.023224,0.00518,0.000229,0.0,0.000229,-0.001638,1
242,0.058586,LONG,0.014338,-0.010747,0.007901,-0.009692,0.001964,-0.023224,-0.006952,-0.000407,7e-06,-0.000414,-0.002052,0
243,0.076521,LONG,0.017935,-0.00829,0.00777,-0.009765,0.002381,-0.023224,0.002362,0.000181,9e-06,0.000172,-0.001881,1
