step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
0,19.889101,LONG,0.000414,0.008232,0.009945,-0.001712,-0.001712
1,-19.919867,SHORT,-0.000483,0.009619,0.019904,-0.010285,-0.011997
2,-19.82408,SHORT,0.01057,-0.20955,4.8e-05,-0.209598,-0.221595
3,-19.8736,SHORT,-0.00294,0.058434,2.5e-05,0.058409,-0.163186
4,-19.764004,SHORT,-0.007561,0.14944,5.5e-05,0.149385,-0.013801
5,-19.938692,SHORT,-0.001312,0.026156,8.7e-05,0.026069,0.012268
6,-19.93812,SHORT,-0.000415,0.008267,0.0,0.008267,0.020534
7,-19.934555,SHORT,0.001243,-0.024786,2e-06,-0.024787,-0.004253
8,-19.936394,SHORT,-0.002211,0.044089,1e-06,0.044088,0.039835
9,-18.072144,SHORT,0.000968,-0.017496,0.000932,-0.018428,0.021406
10,-16.649427,SHORT,-0.003601,0.059948,0.000711,0.059237,0.080643
11,-14.10739,SHORT,-0.000763,0.010769,0.001271,0.009498,0.090141
12,9.619515,LONG,0.002427,0.023344,0.011863,0.011481,0.101622
13,19.947168,LONG,0.003595,0.071703,0.005164,0.066539,0.168161
14,19.93651,LONG,0.0,0.0,5e-06,-5e-06,0.168155
15,19.930565,LONG,-0.003387,-0.067503,3e-06,-0.067506,0.10065
16,19.937243,LONG,0.004146,0.082653,3e-06,0.08265,0.183299
17,19.890108,LONG,0.00241,0.047943,2.4e-05,0.047919,0.231218
18,19.736668,LONG,0.002542,0.050167,7.7e-05,0.05009,0.281309
19,17.559923,LONG,-0.001167,-0.020494,0.001088,-0.021582,0.259727
20,14.46653,LONG,-0.002889,-0.041796,0.001547,-0.043343,0.216384
21,-19.950249,SHORT,-0.000689,0.013748,0.017208,-0.00346,0.212924
22,-19.934036,SHORT,-6.9e-05,0.001374,8e-06,0.001366,0.21429
23,-19.930452,SHORT,-0.001656,0.033004,2e-06,0.033002,0.247292
24,-19.93014,SHORT,0.008732,-0.174028,0.0,-0.174028,0.073265
25,-19.932125,SHORT,-0.005836,0.116318,1e-06,0.116317,0.189582
26,-19.920921,SHORT,-0.002965,0.05907,6e-06,0.059064,0.248646
27,-19.877846,SHORT,-0.005401,0.107366,2.2e-05,0.107345,0.355991
28,-19.84767,SHORT,0.007953,-0.157854,1.5e-05,-0.157869,0.198122
