step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
276,-19.850065,SHORT,0.001659,-0.032936,4e-06,-0.032939,-0.868841
277,-19.812708,SHORT,-0.000574,0.011373,1.9e-05,0.011354,-0.857486
278,-19.813927,SHORT,-0.001021,0.020236,1e-06,0.020236,-0.83725
279,-19.806829,SHORT,0.004651,-0.092128,4e-06,-0.092131,-0.929382
280,-19.830503,SHORT,-0.0021,0.041644,1.2e-05,0.041632,-0.88775
281,-19.8367,SHORT,-0.002041,0.040478,3e-06,0.040475,-0.847275
282,-19.843111,SHORT,0.000574,-0.011396,3e-06,-0.0114,-0.858675
283,-19.853228,SHORT,-0.001341,0.026615,5e-06,0.02661,-0.832064
284,-19.852308,SHORT,-0.000319,0.006342,0.0,0.006342,-0.825723
285,-19.783913,SHORT,-0.000575,0.011381,3.4e-05,0.011347,-0.814376
286,-19.750351,SHORT,0.003829,-0.075624,1.7e-05,-0.07564,-0.890016
287,-19.83865,SHORT,0.001591,-0.031565,4.4e-05,-0.031609,-0.921625
288,-19.832865,SHORT,-0.000254,0.005046,3e-06,0.005043,-0.916583
289,-7.418722,SHORT,-0.000127,0.000944,0.006207,-0.005263,-0.921846
290,-18.399361,SHORT,-0.000827,0.015223,0.00549,0.009733,-0.912113
291,15.806789,LONG,-0.003061,-0.048382,0.017103,-0.065485,-0.977598
292,18.839882,LONG,0.001978,0.037263,0.001517,0.035746,-0.941852
293,19.070238,LONG,-0.000127,-0.002431,0.000115,-0.002546,-0.944399
294,19.098362,LONG,-0.002809,-0.053644,1.4e-05,-0.053658,-0.998056
295,19.202518,LONG,-0.001151,-0.022109,5.2e-05,-0.022161,-1.020217
296,19.284075,LONG,0.000384,0.007404,4.1e-05,0.007363,-1.012854
297,19.364695,LONG,0.000831,0.016099,4e-05,0.016058,-0.996796
298,19.350929,LONG,0.00249,0.048181,7e-06,0.048174,-0.948622
299,19.282553,LONG,0.000128,0.002459,3.4e-05,0.002425,-0.946197
300,19.296749,LONG,-0.003001,-0.057909,7e-06,-0.057916,-1.004113
301,-19.859995,SHORT,-0.002177,0.043226,0.019578,0.023648,-0.980465
302,-0.0,FLAT,-0.005204,0.0,0.00993,-0.00993,-0.990395
303,18.945286,LONG,-0.002128,-0.040318,0.009473,-0.049791,-1.040186
304,18.849375,LONG,0.00682,0.128549,4.8e-05,0.128501,-0.911685
305,19.255997,LONG,0.002753,0.053018,0.000203,0.052815,-0.85887
306,19.226547,LONG,-0.002241,-0.043077,1.5e-05,-0.043092,-0.901962
307,19.165913,LONG,-0.002824,-0.05412,3e-05,-0.05415,-0.956113
308,19.207699,LONG,-0.001544,-0.029649,2.1e-05,-0.02967,-0.985783
309,-19.944351,SHORT,-0.001095,0.021836,0.019576,0.00226,-0.983523
310,-19.53524,SHORT,-0.002904,0.056728,0.000205,0.056524,-0.926999
311,-18.425192,SHORT,0.003677,-0.067746,0.000555,-0.068301,-0.995301
312,-19.444801,SHORT,0.002636,-0.051264,0.00051,-0.051774,-1.047075
313,19.512505,LONG,0.004996,0.097494,0.019479,0.078015,-0.969059
314,18.781073,LONG,-0.001791,-0.033632,0.000366,-0.033998,-1.003057
315,18.278704,LONG,0.004853,0.088709,0.000251,0.088458,-0.914599
316,18.249561,LONG,-0.000765,-0.013956,1.5e-05,-0.01397,-0.92857
317,-19.940144,SHORT,-0.003193,0.063662,0.019095,0.044567,-0.884003
